feature_id,activation_mean,activation_max,activation_min,chat_desc,pt_desc,type,link
90235,0.034468989819288254,1.7541594505310059,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=90235
6704,0.03242146968841553,1.8734240531921387,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=6704
91607,0.01990893855690956,1.4229047298431396,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=91607
68574,0.019145220518112183,1.3410944938659668,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=68574
16030,0.010125183500349522,1.4175256490707397,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=16030
57958,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=57958
70419,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=70419
36072,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=36072
86073,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=86073
3257,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=3257
121662,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=121662
119540,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=119540
76581,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=76581
126986,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=126986
49925,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=49925
4805,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=4805
110638,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=110638
116935,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116935
36170,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=36170
60049,0.0,0.0,0.0,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=60049
