feature_id,link
504,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/504
928,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/928
942,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/942
1269,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1269
1320,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1320
1538,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1538
1622,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1622
1831,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/1831
2075,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2075
2281,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2281
2337,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2337
2368,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2368
2483,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2483
2726,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2726
2750,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2750
2916,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/2916
3384,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3384
3446,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3446
3625,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3625
3795,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3795
3933,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/3933
4121,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4121
4150,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4150
4535,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4535
4584,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4584
4626,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4626
4959,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/4959
5042,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5042
5096,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5096
5202,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5202
5284,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5284
5583,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5583
5629,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/5629
6079,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6079
6081,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6081
6190,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6190
6255,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6255
6400,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6400
6901,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/6901
7208,https://www.neuronpedia.org/llama3.1-8b/17-llamascope-res-131k/7208
