rank,feature_id,token,sparsity_base,sparsity_chat,sparsity_diff,link,explanation,explanation_score
1,97377,asst,0.0010000000474974,0.9120000004768372,0.9110000133514404,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/97377,terms and phrases related to anatomical structures in the pelvic region,
2,11904,asst,0.0020000000949949,0.8809999823570251,0.8790000081062317,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11904,terms related to technology and its impact on society,
1,112879,endheader,0.0,0.7059999704360962,0.7059999704360962,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/112879,elements of code and programming structures,
3,84495,asst,0.0,0.7020000219345093,0.7020000219345093,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84495,mentions of personal opinions and subjective statements,
2,29865,endheader,0.0,0.675000011920929,0.675000011920929,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/29865,"instances of numeric values, particularly in the context of laws and regulations",
3,111573,endheader,0.0,0.6190000176429749,0.6190000176429749,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111573,proper nouns related to locations and organizations,
4,120215,endheader,0.0020000000949949,0.5929999947547913,0.5910000205039978,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120215,references to awards and accolades in sports,
1,84495,newline,0.0,0.5260000228881836,0.5260000228881836,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84495,mentions of personal opinions and subjective statements,
4,20356,asst,0.0,0.3899999856948852,0.3899999856948852,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20356,legal terminologies and procedural terms related to court cases,
5,34433,asst,0.0149999996647238,0.3910000026226043,0.3760000169277191,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/34433,descriptions of residential properties and their features,
6,93478,asst,0.0010000000474974,0.3429999947547912,0.3420000076293945,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93478,information related to technological advancements in various fields,
7,38618,asst,0.0,0.3420000076293945,0.3420000076293945,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38618,"references to specific subjects, entities, or scientific terms",
2,111788,newline,0.0,0.3370000123977661,0.3370000123977661,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111788,textual elements indicating numerical or statistical data,
