rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff,link
1,52951,endheader,10.129718780517578,0.12856249511241913,-10.001155853271484,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52951
1,98290,newline,7.66782808303833,0.0,-7.66782808303833,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98290
1,75005,asst,7.630890846252441,0.004312499891966581,-7.626578330993652,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/75005
2,41864,asst,7.5877814292907715,0.9909218549728394,-6.596859455108643,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/41864
2,38777,endheader,5.829218864440918,0.0,-5.829218864440918,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38777
3,23940,asst,8.663562774658203,3.0236093997955322,-5.63995361328125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/23940
3,120766,endheader,5.467312335968018,0.0,-5.467312335968018,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120766
2,21022,newline,5.144765853881836,0.0,-5.144765853881836,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21022
3,110015,newline,6.40890645980835,1.5808124542236328,-4.828094005584717,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/110015
4,130058,endheader,4.03571891784668,0.0,-4.03571891784668,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130058
4,95637,asst,3.852281332015991,0.0,-3.852281332015991,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/95637
5,84556,asst,5.9184064865112305,2.0724375247955322,-3.8459689617156982,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84556
6,32386,asst,3.700171947479248,0.0,-3.700171947479248,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/32386
5,67583,endheader,3.490898370742798,0.002890625037252903,-3.4880077838897705,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/67583
7,33499,asst,3.422609329223633,0.0,-3.422609329223633,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33499
4,96350,newline,3.3842499256134033,0.01075000036507845,-3.373499870300293,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96350
6,113257,endheader,3.3695781230926514,0.0,-3.3695781230926514,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/113257
5,107533,newline,3.327382802963257,0.0,-3.327382802963257,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107533
6,117905,newline,3.2794766426086426,0.0,-3.2794766426086426,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/117905
8,80545,asst,3.1589062213897705,0.0,-3.1589062213897705,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/80545
7,120215,newline,3.35811710357666,0.2307421863079071,-3.1273748874664307,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/120215
9,42275,asst,3.051468849182129,0.0,-3.051468849182129,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/42275
7,98462,endheader,2.9715781211853027,0.006468750070780516,-2.965109348297119,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98462
10,61802,asst,2.8782498836517334,0.0,-2.8782498836517334,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61802
8,40431,endheader,2.850609302520752,0.0,-2.850609302520752,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/40431
9,90583,endheader,2.8439061641693115,0.008875000290572643,-2.835031270980835,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/90583
11,93194,asst,2.7805936336517334,0.0,-2.7805936336517334,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/93194
10,8088,endheader,2.719343662261963,0.0,-2.719343662261963,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/8088
11,20595,endheader,2.713249921798706,0.0,-2.713249921798706,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20595
12,48147,asst,2.6726250648498535,0.0,-2.6726250648498535,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/48147
13,39921,asst,2.545187473297119,0.0,-2.545187473297119,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/39921
12,44532,endheader,2.5010859966278076,0.0,-2.5010859966278076,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/44532
14,96419,asst,7.610453128814697,5.136812686920166,-2.4736404418945312,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96419
13,81215,endheader,2.4795546531677246,0.016289062798023224,-2.4632656574249268,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/81215
14,52206,endheader,2.400125026702881,0.0,-2.400125026702881,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/52206
8,20761,newline,2.3193280696868896,0.0,-2.3193280696868896,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20761
15,3140,asst,2.281913995742798,0.0025312500074505806,-2.2793827056884766,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/3140
15,107968,endheader,2.250999927520752,0.0,-2.250999927520752,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/107968
16,28895,endheader,2.2476093769073486,0.0,-2.2476093769073486,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/28895
16,130058,asst,2.2403905391693115,0.0,-2.2403905391693115,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130058
17,19897,asst,2.2515313625335693,0.0762031227350235,-2.175328254699707,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/19897
17,125008,endheader,2.107546806335449,0.0,-2.107546806335449,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/125008
18,2782,endheader,2.05454683303833,0.003109375014901161,-2.0514373779296875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/2782
19,16265,endheader,2.0380234718322754,0.0,-2.0380234718322754,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16265
20,91431,endheader,2.013367176055908,0.0031874999403953552,-2.0101797580718994,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/91431
9,130730,newline,2.299687385559082,0.31482812762260437,-1.9848592281341553,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130730
18,82334,asst,2.421663999557495,0.4470156133174896,-1.974648356437683,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82334
21,109166,endheader,1.9570937156677246,0.0,-1.9570937156677246,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109166
19,13495,asst,1.9879844188690186,0.09457812458276749,-1.8934062719345093,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13495
20,6159,asst,1.8836718797683716,0.0,-1.8836718797683716,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/6159
22,116200,endheader,1.8130311965942383,0.0,-1.8130311965942383,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116200
23,9321,endheader,1.7936874628067017,0.0,-1.7936874628067017,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/9321
21,109080,asst,1.7939765453338623,0.0029062500689178705,-1.7910703420639038,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109080
10,55184,newline,1.7886406183242798,0.00712500000372529,-1.7815155982971191,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/55184
24,13465,endheader,1.7813750505447388,0.0,-1.7813750505447388,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13465
25,106743,endheader,1.7793749570846558,0.0,-1.7793749570846558,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/106743
26,121873,endheader,1.6413593292236328,0.0,-1.6413593292236328,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/121873
27,60513,endheader,1.6199843883514404,0.0,-1.6199843883514404,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/60513
11,25570,newline,1.6129530668258667,0.0,-1.6129530668258667,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/25570
28,96419,endheader,6.192578315734863,4.596937656402588,-1.5956406593322754,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96419
29,92357,endheader,1.5435781478881836,0.008578125387430191,-1.534999966621399,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/92357
30,84103,endheader,1.4742969274520874,0.0,-1.4742969274520874,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/84103
22,46108,asst,1.476718783378601,0.004031249787658453,-1.4726874828338623,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/46108
31,8931,endheader,1.4565937519073486,0.0,-1.4565937519073486,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/8931
32,24795,endheader,1.4355312585830688,0.0,-1.4355312585830688,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/24795
23,75092,asst,1.3957812786102295,0.0,-1.3957812786102295,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/75092
33,46108,endheader,1.3552968502044678,0.0,-1.3552968502044678,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/46108
34,88333,endheader,1.3535312414169312,0.0,-1.3535312414169312,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/88333
24,11883,asst,1.368390679359436,0.019296875223517418,-1.3490937948226929,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11883
35,102276,endheader,1.3237968683242798,0.0,-1.3237968683242798,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/102276
25,20595,asst,1.2611249685287476,0.0,-1.2611249685287476,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/20595
12,53372,newline,1.2607109546661377,0.0029531249310821295,-1.2577577829360962,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/53372
26,13465,asst,1.220296859741211,0.0,-1.220296859741211,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/13465
36,98442,endheader,1.2065937519073486,0.0,-1.2065937519073486,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/98442
27,39577,asst,1.163562536239624,0.0,-1.163562536239624,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/39577
37,31040,endheader,1.1568281650543213,0.0,-1.1568281650543213,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31040
38,1002,endheader,1.150796890258789,0.0,-1.150796890258789,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/1002
