source,feature_id,activation_mean,activation_max,activation_min,num_prompts,chat_desc,pt_desc,type,link
llama_trainer1_layer11_asst,61438,1.9178766012191768,3.3037917613983154,0.8301158547401428,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=61438
llama_trainer1_layer11_asst,126635,1.8368074893951416,2.3294451236724854,1.4430737495422363,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=126635
llama_trainer1_layer11_asst,99572,1.305172324180603,2.2925190925598145,0.0,137,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=99572
llama_trainer1_layer11_asst,131008,1.1854618787765503,2.6338281631469727,0.0,121,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=131008
llama_trainer1_layer11_asst,15969,0.8818175196647644,1.480559229850769,0.0,131,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=15969
llama_trainer1_layer11_asst,38170,0.8190122246742249,1.5410913228988647,0.0,126,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=38170
llama_trainer1_layer11_asst,89149,0.7785652875900269,1.2875862121582031,0.0,138,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=89149
llama_trainer1_layer11_asst,85772,0.6862631440162659,1.2299630641937256,0.0,42,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=85772
llama_trainer1_layer11_asst,61943,0.5459408164024353,0.8648549318313599,0.0,56,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=61943
llama_trainer1_layer11_asst,51753,0.4532813429832458,1.039306879043579,0.0,76,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=51753
llama_trainer1_layer11_asst,1898,0.3687776923179626,0.952886700630188,0.0,46,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=1898
llama_trainer1_layer11_asst,65445,0.3413086831569671,0.456897497177124,0.0,44,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=65445
llama_trainer1_layer11_asst,123331,0.3238590955734253,0.5523838996887207,0.0,45,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=123331
llama_trainer1_layer11_endheader,48368,2.461535692214966,3.2575151920318604,0.9569923281669616,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=48368
llama_trainer1_layer11_endheader,111570,2.0418896675109863,2.820056200027466,0.4102793335914612,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=111570
llama_trainer1_layer11_endheader,7161,0.7511577606201172,1.509430170059204,0.0,104,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=7161
llama_trainer1_layer11_endheader,65445,0.7287397384643555,1.083577275276184,0.0,51,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=65445
llama_trainer1_layer11_endheader,123331,0.7207553386688232,1.4493935108184814,0.0,121,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=123331
llama_trainer1_layer11_endheader,78965,0.6930776238441467,1.4198263883590698,0.0,56,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=78965
llama_trainer1_layer11_endheader,125926,0.6346665620803833,1.4941272735595703,0.0,136,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=125926
llama_trainer1_layer11_endheader,54942,0.6242046356201172,1.9959230422973635,0.0,64,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=54942
llama_trainer1_layer11_endheader,26778,0.5089976191520691,1.1678273677825928,0.0,66,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=26778
llama_trainer1_layer11_endheader,55627,0.4679522514343261,0.8379696607589722,0.0,61,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=55627
llama_trainer1_layer11_endheader,113599,0.4653492271900177,0.8348411321640015,0.0,45,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=113599
llama_trainer1_layer11_endheader,17516,0.4643030762672424,0.9792432188987732,0.0,49,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=17516
llama_trainer1_layer11_endheader,64113,0.4001860916614532,0.7193647027015686,0.0,50,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=64113
llama_trainer1_layer11_endheader,2612,0.3875032067298889,0.7384779453277588,0.0,86,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=2612
llama_trainer1_layer11_newline,122494,1.7282421588897705,2.314248323440552,0.8097346425056458,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=122494
llama_trainer1_layer11_newline,123331,1.2246681451797483,1.6758075952529907,0.0,139,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=123331
llama_trainer1_layer11_newline,90045,1.1410629749298096,2.267157077789306,0.0,133,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=90045
llama_trainer1_layer11_newline,89254,0.991015374660492,2.279381036758423,0.0,135,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=89254
llama_trainer1_layer11_newline,63264,0.8863454461097717,2.490862369537353,0.0,69,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=63264
llama_trainer1_layer11_newline,34968,0.8534072637557983,1.7640126943588257,0.0,61,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=34968
llama_trainer1_layer11_newline,25761,0.8192157745361328,2.2916369438171387,0.0,79,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=25761
llama_trainer1_layer11_newline,18158,0.6872681975364685,1.2144882678985596,0.0,54,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=18158
llama_trainer1_layer11_newline,52882,0.5702515840530396,1.1802608966827393,0.0,80,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=52882
llama_trainer1_layer11_newline,17516,0.5499870777130127,1.2565736770629885,0.0,92,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=17516
llama_trainer1_layer11_newline,41799,0.5191354155540466,1.541274905204773,0.0,44,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=41799
llama_trainer1_layer11_newline,7161,0.4061616659164428,0.6961622834205627,0.0,47,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=7161
llama_trainer1_layer11_newline,18919,0.3849483728408813,1.038330078125,0.0,47,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=18919
llama_trainer1_layer15_asst,128740,3.660419464111328,4.542189121246338,2.514089584350586,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=128740
llama_trainer1_layer15_asst,103593,1.9772508144378664,3.1761622428894043,0.0,137,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=103593
llama_trainer1_layer15_asst,84223,1.8158377408981323,2.2265658378601074,1.2251365184783936,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=84223
llama_trainer1_layer15_asst,126895,1.188498854637146,2.335887908935547,0.0,83,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=126895
llama_trainer1_layer15_asst,129304,0.9027712345123292,1.486505389213562,0.0,99,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=129304
llama_trainer1_layer15_asst,61506,0.8677208423614502,1.5065122842788696,0.0,74,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=61506
llama_trainer1_layer15_asst,100530,0.8506385684013367,1.5260114669799805,0.0,53,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=100530
llama_trainer1_layer15_asst,82001,0.7548580765724182,1.4685792922973633,0.0,112,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=82001
llama_trainer1_layer15_asst,81820,0.734275221824646,1.4277064800262451,0.0,57,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=81820
llama_trainer1_layer15_asst,47370,0.7083297371864319,1.30076003074646,0.0,59,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=47370
llama_trainer1_layer15_asst,109812,0.5714802145957947,1.234864592552185,0.0,74,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=109812
llama_trainer1_layer15_endheader,44969,3.1874988079071045,3.807536602020264,1.8774808645248413,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=44969
llama_trainer1_layer15_endheader,82375,2.5267040729522705,3.242504358291626,0.0,139,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=82375
llama_trainer1_layer15_endheader,40609,1.3352680206298828,2.871328353881836,0.0,64,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=40609
llama_trainer1_layer15_endheader,13693,1.2136090993881226,1.568359375,0.3454143404960632,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=13693
llama_trainer1_layer15_endheader,74020,1.101585030555725,1.9116778373718264,0.0,122,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=74020
llama_trainer1_layer15_endheader,61506,0.8142897486686707,1.3713165521621704,0.0,57,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=61506
llama_trainer1_layer15_endheader,47541,0.7728196978569031,1.6084321737289429,0.0,87,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=47541
llama_trainer1_layer15_endheader,114787,0.7130472660064697,1.771651268005371,0.0,47,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=114787
llama_trainer1_layer15_endheader,26117,0.7006504535675049,1.35025155544281,0.0,61,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=26117
llama_trainer1_layer15_endheader,88605,0.5608278512954712,1.1433522701263428,0.0,43,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=88605
llama_trainer1_layer15_endheader,127173,0.5408744215965271,1.2645679712295532,0.0,56,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=127173
llama_trainer1_layer15_endheader,79277,0.5304750204086304,1.2927639484405518,0.0,120,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=79277
llama_trainer1_layer15_newline,12926,3.493535280227661,4.1371660232543945,2.2557597160339355,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=12926
llama_trainer1_layer15_newline,114577,1.582284450531006,3.1639530658721924,0.0,68,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=114577
llama_trainer1_layer15_newline,129304,1.3591872453689575,1.976021647453308,0.3498348891735077,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=129304
llama_trainer1_layer15_newline,13238,1.2028554677963257,3.331479549407959,0.0,89,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=13238
llama_trainer1_layer15_newline,19680,1.0267009735107422,2.238004207611084,0.0,88,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=19680
llama_trainer1_layer15_newline,98082,0.9511717557907104,1.8524904251098635,0.0,126,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=98082
llama_trainer1_layer15_newline,116412,0.7066086530685425,1.7242510318756104,0.0,46,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=116412
llama_trainer1_layer15_newline,82375,0.6426867246627808,1.409325122833252,0.0,108,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=82375
llama_trainer1_layer15_newline,38808,0.5564165115356445,0.7882267236709595,0.0,137,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=38808
llama_trainer1_layer15_newline,104237,0.5123544335365295,1.0540066957473757,0.0,52,,,,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=104237
qwen_trainer1_layer11_asst,70696,24.139549255371094,25.85738754272461,21.100818634033203,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=70696
qwen_trainer1_layer11_asst,25757,17.715837478637695,22.60684585571289,13.222905158996582,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25757
qwen_trainer1_layer11_asst,115168,12.536656379699709,15.886381149291992,9.593883514404297,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=115168
qwen_trainer1_layer11_asst,71458,12.3242826461792,14.312054634094238,10.406545639038086,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458
qwen_trainer1_layer11_asst,98916,8.446587562561035,11.114324569702148,5.736313343048096,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=98916
qwen_trainer1_layer11_asst,81528,5.142666816711426,10.429818153381348,0.0,126,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
qwen_trainer1_layer11_asst,108571,4.8109869956970215,7.504631996154785,0.0,139,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
qwen_trainer1_layer11_asst,65314,3.0427308082580566,4.366912841796875,0.0,136,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
qwen_trainer1_layer11_asst,96254,2.8704137802124023,4.6546478271484375,0.0,71,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=96254
qwen_trainer1_layer11_asst,74183,2.394838094711304,4.198832988739014,0.0,57,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=74183
qwen_trainer1_layer11_asst,2722,2.146486759185791,3.534298658370972,0.0,98,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=2722
qwen_trainer1_layer11_asst,116744,1.727760910987854,2.7693021297454834,0.0,56,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116744
qwen_trainer1_layer11_newline,59207,16.912830352783203,20.680095672607425,11.190322875976562,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=59207
qwen_trainer1_layer11_newline,95644,12.690239906311035,16.160917282104492,6.70933198928833,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=95644
qwen_trainer1_layer11_newline,108571,8.838210105895996,12.461044311523438,1.7767822742462158,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
qwen_trainer1_layer11_newline,110251,7.815804481506348,10.766162872314451,3.903197288513184,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=110251
qwen_trainer1_layer11_newline,25109,6.474215030670166,8.025309562683105,5.459242820739746,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25109
qwen_trainer1_layer11_newline,21618,5.213994026184082,8.84861946105957,0.0,130,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=21618
qwen_trainer1_layer11_newline,116744,5.174285888671875,9.575684547424316,1.665717363357544,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116744
qwen_trainer1_layer11_newline,71458,5.015202522277832,7.133174419403076,3.569279670715332,140,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458
