feature_id,activation_mean,activation_max,activation_min,label,chat_desc,pt_desc,type,link
70696,24.139551162719727,25.85738754272461,21.100818634033203,universal,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=70696
25757,17.715837478637695,22.60684585571289,13.222905158996582,universal,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25757
115168,12.536657333374023,15.886381149291992,9.593883514404297,universal,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=115168
71458,12.324281692504883,14.312054634094238,10.406545639038086,universal,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458
98916,8.446587562561035,11.114324569702148,5.736313343048096,universal,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=98916
116460,6.000408172607422,8.710529327392578,1.7827019691467285,analysis,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,analysis,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,analysis,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,analysis,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,code,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,code,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,code,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,code,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,creative,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,creative,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,creative,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,creative,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,math,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,math,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,math,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,math,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,medical,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,medical,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,medical,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,medical,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,therapy,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,therapy,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,therapy,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,therapy,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
116460,6.000408172607422,8.710529327392578,1.7827019691467285,trivia,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116460
108571,4.288429260253906,7.118816375732422,2.337127685546875,trivia,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
81528,4.244130611419678,6.500978469848633,1.68361234664917,trivia,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528
65314,3.1693150997161865,3.7402524948120117,2.030141830444336,trivia,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=65314
