feature_id,assistant_mean,cohens_d,chat_desc,pt_desc,link,type
36072,0.9168316722,0.7732402086,"""i'm doing good, thank you"" in different languages","""i'm doing good, thank you""/""i'm doing great""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=36072,semantic
70419,0.8319208026,1.036405921,"AI chatbot responding to ""how are you"" by denying having feelings or emotions",excited and friendly greetings,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=70419,semantic
57958,0.5232946277,0.9514988661,"metaphorical references to organs of robots, machines, computers","metaphorical references to organs of robots, machines, computers",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=57958,entity
86073,0.4155234396,0.7725329399,"<im_end> header token before AI chatbot responds ""hello how can i help you""","newline or other text token after a greeting like ""hello""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=86073,semantic
121662,0.4148161411,0.7724032402,"newline token after ""assistant"" reponse to ""hi""","newline or other text token before beginning of an email, post, message, or description",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=121662,semantic
119540,0.3949385583,0.7803325057,"""thought:"" token in reasoning model","token before thinking, deliberating, or commenting",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=119540,semantic
49925,0.3469967842,0.7815471292,"""assistant"" header token after being asked follow-up questions",colon before bash commands ???,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=49925,semantic
3257,0.3047901094,0.5963445902,"the phrase ""ranges of emotions,"" definitions of emotions","the phrase ""ranges of emotions,"" definitions of emotions",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=3257,semantic
6704,0.250195235,0.5955629349,"newline before ""hello"" in chinese",newline or other text token before ???,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=6704,semantic
68574,0.2105821371,0.6054468751,"newline after ""assistant"" header token when the AI chatbot is asked to behave a certain way if christian",???,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=68574,semantic
126986,0.1920124143,0.4082482755,AI chatbot being instructed to pose questions to the user,"raising, formulating, or posing questions",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=126986,behavior
76581,0.1216732636,0.4082483053,"the phrase ""visions for the future""","the phrase ""visions for the future""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=76581,semantic
4805,0.1200259924,0.4082482755,<im_end> header from AI chatbot after telling the user who created it and/or giving a disclaimer about its capabilities,tokens before giving a disclaimer or more information about capabilities,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=4805,semantic
90235,0.1149614826,0.4082482755,"user instructing AI chatbot or the AI chatbot agreeing to role-play, impersonate, or simulate a character","impersonating, portraying, or giving an impression of a character",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=90235,behavior
116935,0.1148496643,0.4082482457,"the ""I"" in AI chatbot reponses to ""who are you""",self-identification on the internet in response to a question,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116935,semantic
110638,0.1120418832,0.4082482755,"the ""any"" in the question ""if you could be/have any ..."" posed to an AI chatbot","""any"" or a number in questions in the form ""if you could be/have/bring any...""",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=110638,semantic
16030,0.1060605347,0.4082483053,"viewpoint, bird's eye view, first-person perspective","the perspective of an organization (mainly healthcare system, government)",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=16030,entity
36170,0.1052632108,0.4082482755,AI chatbot asked to give a score to rate different emotions in a given situation,"numbers, ratings, or scores in reviews",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=36170,semantic
91607,0.104783833,0.4082482755,valuing or encouraging innovation,valuing or encouraging innovation,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=91607,behavior
60049,0.1039782837,0.4082482755,questions from users which require the AI chatbot to imagine emotions and feelings ,"inducing emotions, especially technology manipulating emotions or chemicals inducing emotions",https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=60049,behavior
